Country.Code,GDP.per.capita.2017,Under.5.Mortality.Rate.2017
URY,16245.59837,8.2
USA,59531.66196,6.6
UZB,1533.852038,22.5
VCT,7145.076837,16.2
VEN,NA,30.9
VNM,2342.244003,20.9
VUT,3123.614591,26.9
WLD,10721.60885,39.1
WSM,4280.838915,16.5
XKX,3957.441819,NA
YEM,1106.803906,55.4
ZAF,6151.077955,37.1
ZMB,1513.276316,60
ZWE,1333.395663,50.3
